Code,Q,interviewer,interviewee
p1,1,Interviewer: So how are you doing?,Interviewee: Im pretty good.
p1,2,Interviewer: Ok well  so please tell me about yourself.,Interviewee: ok  uhm  so have you looked at my resume or should I  alright  so I guess ah  I am course 6-7 here at M.I.T  ah which is computational biology  so its a mix of computers  science and biology and actually thats where my interest lie in applying like algorithmic kinda software engineering too datasets dealing with genomics and biology.  Uhm some of that activities that you do out side of school  include Camp Kesem which is a summer camp that we run for completely free for kids whose parents have cancer  as well as ah amphibious achievement  which is ah a high school tutoring program for inner city kids in Boston  
p1,2,Interviewer: Ok well  so please tell me about yourself.,Interviewee: So ah  my interest kinda laid both in a little bit of the health care  I imagined I was going be a Doctor growing up  and then it came down to the tee and Im like  well I can do engineering and still apply and do the same things and help a lot more people.
p1,3,Interviewer: So please tell me about a time that you demonstrated leadership.,Interviewee: Ok  uhm  one of the things we have to do for Camp Kesem is orgin or fundraise all the money to ah  to  run the camp which is over $50 000.00.  Ah so one of the things that I individually spearhead every year is called the Camp Kesem I say you did auction  where actually my fraternity and I go out and solicit uhm  donations in the form of gift cards  ah to raise money for a date auction where we actually sell dates  and then we use this money obviously we donate it to Camp Kesem. I spearhead the entire event and I kinda orginize everyone into committees and groups  and I send the people out and make sure everything goes according to plan.  
p1,4,Interviewer: Tell me about a time when your working on a team and faced with a challenge  how did you solve that problem?,Interviewee:  Ahh  I guess the easiest team project I just I just had  was  last semester  uhm I worked on this six double o five project which is algorithm or software architecture.
p1,4,Interviewer: Tell me about a time when your working on a team and faced with a challenge  how did you solve that problem?,Interviewee: and we were put in a group of 3 people  and it was standard you know we signed the contract everyone is supposed to work equally  but it ended up being by the end of it  that someone didn't like put there fair share of work in...Ah essentially we talked to him we didn't really get it out  we actually had to go to some of the T.A's we got a little bit ah  and that kinda like pushed him forward  so I mean I guess what I am showing is like  Im not affraid to go to the right method or like authority like where in cases this situation presents itself.  
p1,5,Interviewer: Oh yes.  Alright tell me about one of your weaknesses and how you plan to overcome it.,Interviewee:  Uhmmm.  I would say for this job  ah Im a little technically underprepared.  Ah I've yet  I have only taken the introductory software classes so far and as well as introductory bio classes  but I think just from sheer interest and sheer effort i will be able to kinda overcome these obstacles.
p1,6,Interviewer:  Now why do you think we should hire you?,Interviewee:  Ah  Im very interested  in the subject of computation biology  and I think that I will be able to contribute a lot to this field  uhm I've had a good amount of experience and I think I will be a solid intern.
p10,1,Interviewer: So  how you doing?,Interviewee: Great  how about you?
p10,1,Interviewer: I'm okay.,Interviewee: I'm a little [???] by the resurgence of the hurricane  but..
p10,1,Interviewer: I understand  I got to get home later too and I'm worried.,Interviewee: Yeah  we were half way here and it just turned on a switch  lightening  winds and everything.
p10,1,Interviewer: Oh wow.,Interviewee: So yeah.
p10,2,Interviewer: So  uh  tell me about yourself.,Interviewee: Okay  um  I'm a Junior here at MIT  um  I'm studying aerospace engineering  um  my  my interests are generally in food mechanics  control  um  design  um  mostly aircraft  but protozoan [???] problems in general. Um  I like to  um  I like to play music  listen to music  um  I run  do some other team sports  I like to play hockey. 
p10,3,Interviewer: Tell me about a time when you demonstrated leadership.,Interviewee: Um  okay  so  uh  one of the projects that I've worked on since coming to MIT  um  was during my Freshman year  I worked in the  in the uh  Artificial Intelligence group in  uh  Cesil [sp]  which is a lab  a computer science lab here at MIT.
p10,3,Interviewer: Okay.,Interviewee: And  um  I was working on a project with another student  actually another Freshman  uh  basically we were tasked with the  sort of  bringing this project  starting this project  bring it up to the level where it could be presented at conference. 
p10,3,Interviewer: Mm-hmm.,Interviewee: Um  together  and we were kind of left  to work out the cooperation on our own and um   there was  um  as the conference got closer  about halfway  um  about halfway through the year Freshman year  ah  there were a bunch of issues that we had with um  with um  basically meeting the expectations that had been set before us in terms of what we were going to present. Um  and finishing in a timely basis.
p10,3,Interviewer: Mm-hmm.,Interviewee: And it came down to whether we were really going to be able to  and there were other basically  parts  other people's work in the same group where work depended on us finishing in time  so it really  um  really  we had to make a decision weather we were just going to basically get done what we could  but to the quality standard that  the standard of quality that was expected of us  or to um  try to finish everything and to have other people's work potentially suffer because of our [??] hadn't really been up to snuff. And  um  and so  we kind of had a little bit of a disagreement about this  but what ended up happening was  um  I went and talked to the professor and um  sort of decided to um  make them aware of what was happening  because they weren't really aware that we had fallen behind. And  um  sort of got the other student on board  who had disagreed with me  uh to do this  uh  and to let everyone else know what was going on  and uh  we ended up presenting a lot less than what was originally expected  but  um  I think it was very much for the better. 
p10,4,Interviewer: Tell me about a time when you were working on a team and you were faced with a challenge. How did you solve the problem?,Interviewee: Okay  um  so  another  another thing that I spend a lot of my time doing is called  is an organization called Design  Build  Fly here  um  it's  it's a design competition um  run by the IAA  which is an aerospace professional organization.  And um   and uh  you can enter a team from any university or group  basically anywhere in the world. It's mostly US university though.
p10,4,Interviewer: Mm-hmm.,Interviewee: And  um  these university teams basically build a plane  um  design it  build it  fly it as the competition name suggests and you compete them all at the end of the year  compete against the other universities at the end of the year at one competition. Basically  um  last year we had  uh  a design challenge  it was pretty unique  um  and um  so  I'll take that as our challenge  um  so we basically had a year to solve this  um  and I was head of one of the sub-groups last year  the actual design sub-group  and um  I mean  we approached in a methodical way  just like I think that's the best way to solve most problems. 
p10,4,Interviewer: Sure.,Interviewee: Um  got input from every team member  um  and um  basically  um  looked at  looked at all our possibilities  um   and um we ran the numbers.  Ultimately  like I think that's the best way to solve most problems. We ended up with um  a design that got the best overall score...
p10,4,Interviewer: Mm-hmm.,Interviewee: ...on the basis of just  basically incorporating  um  every team member's input.
p10,5,Interviewer: Mm-hmm. Tell me about one of your weaknesses and how you plan to overcome it.,Interviewee: Okay  um  so one of my  I think definitely since coming here  I've noticed that one of my biggest weaknesses is written communication. Um  I really was not intimidated by the thought of it in high school  but I um  definitely since coming here  I find that perhaps um at the expense of technical skills  my written communication skills have atrophied  maybe is the right word. And  um  so I definitely  I think I'm um  pretty aware of this and um  and um.. I would definitely like to improve it and um...
p10,5,Interviewer: Mm-hmm.,Interviewee: ...so what I'm going to do is try to force myself whenever I'm writing papers or taking reports for  whether it be for research or for classes  just to go through the proper revision cycle  force myself to make sure that I'm actually being  um  that I'm being succinct in what I'm saying  have other people reading give me feedback.
p10,6,Interviewer: Now why do you think that we should hire you for this position?,Interviewee: Okay  um  I  um  I mean  I think  I don't know what this position that it is...
p10,6,Interviewer: Whatever position you want at a company that you're looking for.,Interviewee: Yeah  sure  but if I knew that this position was  I think that I would want it because um  this is really what I thrive off of. I  um  enjoy doing it  um  and I would be excited to come to work every day to do it. Um  which  um  that's like the biggest thing for me. I um  I would be excited to come do it and I know I would put my  you know  put my all into doing a good job at it  because I would be excited to come do it. And  um  I think that um  I have a decent skill set to do this and I think that I'm qualified to contribute in this area.
p11,2,Interviewer: So  tell me about yourself. ,Interviewee: Uhh  I’m a junior at MIT  uhh I’m double majoring in Management and Biology  er  I’m very interested in the world of finance  uh  business  consulting all of those sorts of things. Um  so I’ve tried to take on different leadership roles that would prepare me for uh  those sort of roles in the business world. Outside of school  I enjoy running  cross-country and track  I’m on the varsity team at MIT. And umm  I’m also very involved in Greek Life at MIT  so I’m on the Panhellenic Executive Board as Vice President of Programming  and also hold a leadership position in my sorority. 
p11,3,Interviewer: Great  okay. Can you tell me about a time you demonstrated leadership?,Interviewee: Umm  so I think this past year  my biggest priority has been my position as Vice President of Programming for Panhellenic and umm  just in that position  uhh  I hold a leadership role on the exec board. We have weekly meetings  I’m charge of putting together our programming calendar for our entire year. So I have interface with a lot of MIT faculty and bring together the exec board as a whole and the different sororities uhh  to meet and attend different events. And I think to put together all these events I’m working together with different people on campus I have to show leadership and show strong communication skills. 
p11,4,Interviewer: Great. So  tell me about a time you were working on a team  and faced a challenge. How did you guys overcome that?,Interviewee: Umm  so I guess this past semester actually  I’m associate advisor for umm  freshmen and I work with my freshmen advisor as well and another associate advisor  and er   the three of us were trying to come up with an event to host for the freshman and I think we all  er  were very uhh  set on our ideas. So having to full time communicate and work on an idea that could bring all our thoughts and goals together . Um  so we had to work together to formulate some sort of event that would satisfy each of our different goals and that was difficult at first  ‘cause we had just met each other and it was difficult to understand where the other people were coming from. But after that  and after communicating what our main goals for the event for would be  we eventually figured out what we wanted to do. 
p11,4,Interviewer: Can you be more specific about that  what you eventually figured out?,Interviewee: Uhh  yeah so  we had — we were trying to communicate via email at first  so I think that was  uhh inefficient  especially since we had only met in a group once before  umm so meeting in person and really  trying to outline not just like   what the event was going to be  what our purpose of the event was going to be  and what we trying to communicate with the freshmen. I think by boiling down to what our purpose was for the event  we were able to build it up from there. 
p11,5,Interviewer: Okay  so can tell me about some of your weakness? Do you have any idea? ,Interviewee: Umm  so I think one of my weaknesses is public speaking  actually  and uhh  I think by taking a variety of classes  especially this one class that I’m in  that focuses on management and communication . I’ve been kind of thrown into positions where I have to give impromptu speeches  uhh  and debate my point in different arguments and I think that the practice is helping me a lot and it allows me to become more comfortable and more confident in what I’m saying  which I think helps me in the long run like public speaking in general. I think I’ve been able to build up my confidence and know like  how to structure my speeches and interviews and impromptus better. 
p11,6,Interviewer: Great. So why do you think we should hire you?,Interviewee: Uhh  I think my different leadership positions as well as my academic experience  umm would allow me to perform well on the job. I think  I’ve worked umm  both individually in a project as well as in a team-focused environment  which umm  I think is key for consulting and investment banking positions. I also feel that my MIT background  uh  the quantitative analysis that I’ve done in classes  as well as my internship experiences would help perform well on the job as well  so…
p12,1,Interviewer: So how are you doing today?,Interviewee: I'm good  how are you?
p12,2,Interviewer: Good. So  why don't you tell me about yourself?,Interviewee: Ok  so  I'm a Junior at MIT majoring in Mechanical Engineering. Uh my focus is in uh Robotics and Product Design. Uh I'm originally from Seattle  Washington.
p12,2,Interviewer: Ok. Any extracurriculars  any interests?,Interviewee: Ummm I'm really interested in a combination of robotics and like psychology  phased in. So artificial intelligence  or that vein of thinking. Um I'm also  I do a little bit of theater on the side. So  considering doing some sort of combination. It's a wide range of interests so I'm trying to figure out a way to uh put in a lot of it into one thing but  yeah.
p12,2,Interviewer: Great. ,Interviewee: Mmhmm.
p12,3,Interviewer: Can you tell me about a time you demonstrated leadership?,Interviewee: Yeah  ok. So  um  in high school I was a life guard. And that's  it was a great job but it was a lot of working with other lifeguards in kind of in a  a team situation. Um  and a lot of the times one person would have to step up in order to be a leader with you know uh like swi-  like we taught swim lessons. And I would have a partner with me and we'd both be teaching the same kids. And  I'd have to  you know  tell them what to do  or tell them what exactly we were going to do during that class. That sort of stuff.
